Class,Pkmn1,Pkmn2,Pkmn3,Pkmn4,Pkmn5,Pkmn6
beauty,bellsprout,bellsprout,,,,
beauty,bellsprout,bellsprout,oddish,oddish,,
beauty,exeggcute,,,,,
beauty,rattata,pikachu,rattata,,,
beauty,rattata,vulpix,rattata,,,
beauty,clefairy,meowth,,,,
beauty,pidgeotto,wigglytuff,,,,
beauty,bulbasaur,ivysaur,,,,
beauty,goldeen,seaking,,,,
beauty,poliwag,goldeen,seaking,goldeen,poliwag,
beauty,staryu,staryu,staryu,,,
beauty,seadra,horsea,seadra,,,
beauty,seaking,,,,,
beauty,shellder,shellder,cloyster,,,
beauty,poliwag,seaking,,,,
beauty,vileplume,butterfree,,,,
beauty,paras,vileplume,exeggcute,,,
beauty,corsola,,,,,
beauty,meowth,meowth,,,,
beauty,hoppip,skiploom,,,,
beauty,sentret,sentret,sentret,,,
beauty,azumarill,,,,,
beauty,goldeen,wailmer,,,,
beauty,kecleon,seviper,,,,
beauty,kecleon,seviper,,,,
beauty,kecleon,seviper,,,,
beauty,kecleon,seviper,,,,
beauty,kecleon,seviper,,,,
beauty,goldeen,,,,,
beauty,marill,,,,,
beauty,lombre,,,,,
beauty,shroomish,,,,,
beauty,numel,,,,,
beauty,carvanha,wailmer,sharpedo,,,
beauty,azumarill,,,,,
beauty,goldeen,,,,,
beauty,kecleon,seviper,,,,
beauty,kecleon,seviper,,,,
beauty,kecleon,seviper,,,,
beauty,kecleon,seviper,,,,
beauty,kecleon,seviper,,,,
beauty,goldeen,,,,,
beauty,marill,,,,,
beauty,spheal,spoink,poochyena,,,
beauty,clamperl,corphish,lombre,,,
beauty,shroomish,,,,,
beauty,numel,,,,,
beauty,wailmer,horsea,,,,
beauty,wailmer,horsea,,,,
beauty,luvdisc,wailmer,seadra,,,
beauty,luvdisc,wailmer,seadra,,,
beauty,luvdisc,wailord,kingdra,,,
beauty,carvanha,sharpedo,,,,
beauty,oddish,oddish,bellsprout,bellsprout,,
beauty,pidgeotto,wigglytuff,,,,
beauty,pidgeot,wigglytuff,,,,
beauty,rattata,pikachu,rattata,,,
beauty,exeggcute,,,,,
beauty,nidoran,,,,,
beauty,bulbasaur,ivysaur,,,,
beauty,clefairy,meowth,,,,
beauty,clefairy,persian,,,,
beauty,bellsprout,bellsprout,,,,
beauty,glameow,,,,,
beauty,glameow,,,,,
beauty,purugly,,,,,
beauty,wormadam,,,,,
beauty,finneon,,,,,
beauty,psyduck,,,,,
beauty,roselia,,,,,
beauty,lopunny,,,,,
beauty,glameow,,,,,
beauty,glameow,,,,,
beauty,meowth,glameow,skitty,,,
beauty,wormadam,wormadam,wormadam,,,
beauty,finneon,,,,,
beauty,psyduck,,,,,
beauty,lopunny,,,,,
beauty,clefable,wigglytuff,,,,
beauty,vileplume,butterfree,,,,
beauty,bellossom,,,,,
beauty,paras,parasect,carnivine,,,
beauty,wigglytuff,clefable,,,,
beauty,meowth,meowth,,,,
beauty,hoppip,skiploom,,,,
beauty,sentret,sentret,sentret,,,
biker,koffing,koffing,koffing,,,
biker,koffing,muk,,,,
biker,koffing,grimer,,,,
biker,grimer,grimer,koffing,,,
biker,koffing,koffing,grimer,koffing,,
biker,koffing,koffing,weezing,koffing,grimer,
biker,koffing,grimer,weezing,,,
biker,grimer,koffing,,,,
biker,weezing,,,,,
biker,grimer,grimer,grimer,grimer,,
biker,weezing,koffing,weezing,,,
biker,muk,,,,,
biker,voltorb,voltorb,,,,
biker,weezing,muk,,,,
biker,koffing,weezing,koffing,koffing,weezing,
biker,koffing,weezing,charmeleon,,,
biker,koffing,koffing,koffing,koffing,,
biker,koffing,weezing,magmar,,,
biker,flareon,,,,,
biker,magmar,magmar,,,,
biker,weezing,,,,,
biker,koffing,koffing,,,,
biker,koffing,grimer,weezing,,,
biker,muk,,,,,
biker,koffing,koffing,weezing,koffing,grimer,
biker,togepi,,,,,
biker,koffing,muk,,,,
biker,koffing,grimer,,,,
biker,koffing,,,,,
biker,grimer,,,,,
biker,weezing,,,,,
biker,grimer,grimer,koffing,,,
biker,koffing,koffing,koffing,,,
biker,grimer,grimer,,,,
biker,muk,muk,,,,
biker,weezing,muk,,,,
biker,weezing,muk,,,,
biker,magby,,,,,
biker,grimer,koffing,,,,
biker,koffing,koffing,grimer,koffing,,
biker,koffing,koffing,muk,weezing,,
biker,koffing,grimer,,,,
biker,voltorb,voltorb,,,,
biker,koffing,koffing,grimer,,,
biker,weezing,koffing,weezing,,,
biker,weezing,weezing,weezing,,,
biker,weezing,koffing,weezing,,,
biker,koffing,weezing,koffing,weezing ,koffing,
biker,tentacruel,,,,,
biker,hypno,tentacruel,,,,
biker,hypno,tentacruel,,,,
biker,tentacruel,hypno,tentacruel,,,
biker,koffing,weezing,charmeleon,,,
